CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|MTOTRANSACCION|FLG_MTO_P25|FLG_MTO_P50|FLG_MTO_P75|FLG_MTO_P90|FLG_AN|TIPPER|FLG_NUEVA_BEN|dif2|FLG_NUEVA_SOL|FLG_NUEVA|FLG_BANCA|PERSONA_SOL|EMPRESA_SOL|PERSONA_BEN|EMPRESA_BEN|FLG_ROS|FLG_MTO|FLG_NOREL|MTOTRANSACCION_ES|TIPPER_BEN|TIPPER_SOL|MTO_P95|MTOTRANSACCION_ES95|FLG_ROS_BEN|FLG_ROS_SOL|N_Cluster
10806936.0|5080683.0|202312|26/12/23|445000|64|902660907286|62|444000.0|0|0|1|0|0|0|0|4248.0|0|0|1|1|0|1|0|0|0|1|444000.0|1|0|444000.0|444000.0|0|0|18
3454983.0|3010416.0|202312|14/12/23|193011|371|801221939506|62|200000.0|0|0|0|0|0|0|0|7959.0|0|0|1|1|0|1|0|0|0|0|200000.0|1|0|200000.0|200000.0|0|0|4
21298288.0|21298288.0|202312|20/12/23|193010|184|801224574622|60|222180.0|0|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|222180.0|0|0|222180.0|222180.0|0|0|9
12879435.0|16548947.0|202312|28/12/23|365002|155|801227894194|62|234702.0|1|0|0|0|0|0|0|4003.0|0|0|1|1|0|1|0|0|0|1|234702.0|1|0|234702.0|234702.0|0|0|9
71541.0|4016147.0|202312|29/12/23|191069|339|801228640669|117|508961.8|0|0|1|0|0|0|0|-5830.0|0|0|1|1|0|0|1|0|1|1|508961.8|1|1|508961.8|508961.8|0|0|13
|24161413.0|202312|04/12/23|585000|395|801217988852|87|300118.5|0|1|0|0|0|0|0||0|0|1|1|0|0|0|0|0|1|300118.5|1|0|300118.5|300118.5|0|0|10
21835.0|21835.0|202312|29/12/23|550000|162|902662539453|62|200000.0|0|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|200000.0|0|0|200000.0|200000.0|0|0|9
2379096.0|2379096.0|202312|06/12/23|215006|355|902654352794|60|269000.0|1|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|269000.0|0|0|269000.0|269000.0|0|0|9
25515995.0|86628.0|202312|28/12/23|194030|139|902662041864|62|300000.0|0|1|0|0|0|0|0|857.0|0|0|1|1|0|1|0|0|0|0|300000.0|1|0|300000.0|300000.0|0|0|12
341480.0|7648801.0|202312|15/12/23|533000|86|801222357369|62|276965.7|1|0|0|0|0|0|0|-15754.0|0|0|1|1|0|0|1|0|0|1|276965.7|1|0|276965.7|276965.7|0|0|0
